file,operation
omtests.test_matlib,test_zeros
omtests.test_matlib,test_identity
omtests.test_matlib,test_eye
omtests.test_matlib,test_rand
omtests.test_matlib,test_randn
omtests.test_matlib,test_repmat
omtests.test_warnings,test_warning_calls
omfft._helper,_fftshift_dispatcher
omfft._helper,fftshift
omfft._helper,ifftshift
omfft._helper,fftfreq
omfft._helper,rfftfreq
omfft._pocketfft,_raw_fft
omfft._pocketfft,_swap_direction
omfft._pocketfft,_fft_dispatcher
omfft._pocketfft,fft
omfft._pocketfft,ifft
omfft._pocketfft,rfft
omfft._pocketfft,irfft
omfft._pocketfft,hfft
omfft._pocketfft,ihfft
omfft._pocketfft,_cook_nd_args
omfft._pocketfft,_raw_fftnd
omfft._pocketfft,_fftn_dispatcher
omfft._pocketfft,fftn
omfft._pocketfft,ifftn
omfft._pocketfft,fft2
omfft._pocketfft,ifft2
omfft._pocketfft,rfftn
omfft._pocketfft,rfft2
omfft._pocketfft,irfftn
omfft._pocketfft,irfft2
omfft.helper,__getattr__
ffttests.test_helper,original_fftshift
ffttests.test_helper,original_ifftshift
ffttests.test_pocketfft,fft1
ffttests.test_pocketfft,zeros_like
ffttests.test_pocketfft,zeros_like
ffttests.test_pocketfft,test_fft_with_order
ffttests.test_pocketfft,test_fft_output_order
ffttests.test_pocketfft,worker
ffttests.test_pocketfft,test_irfft_with_n_1_regression
ffttests.test_pocketfft,test_irfft_with_n_large_regression
ffttests.test_pocketfft,test_fft_with_integer_or_bool_input
tedistutils.system_info,customized_ccompiler
tedistutils.system_info,_c_string_literal
tedistutils.system_info,libpaths
tedistutils.system_info,add_system_root
tedistutils.system_info,get_standard_file
tedistutils.system_info,_parse_env_order
tedistutils.system_info,get_info
tedistutils.system_info,get_atlas_version
tedistutils.system_info,combine_paths
tedistutils.system_info,dict_append
tedistutils.system_info,parseCmdLine
tedistutils.system_info,show_all
tedistutils.lib2def,parse_cmd
tedistutils.lib2def,getnm
tedistutils.lib2def,parse_nm
tedistutils.lib2def,output_def
tedistutils.exec_command,filepath_from_subprocess_output
tedistutils.exec_command,forward_bytes_to_stdout
tedistutils.exec_command,temp_file_name
tedistutils.exec_command,get_pythonexe
tedistutils.exec_command,find_executable
tedistutils.exec_command,_preserve_environment
tedistutils.exec_command,_update_environment
tedistutils.exec_command,exec_command
tedistutils.exec_command,_exec_command
tedistutils.exec_command,_quote_arg
tedistutils.cpuinfo,getoutput
tedistutils.cpuinfo,command_info
tedistutils.cpuinfo,command_by_line
tedistutils.cpuinfo,key_value_from_command
tedistutils.core,_dict_append
tedistutils.core,_command_line_ok
tedistutils.core,get_distribution
tedistutils.core,setup
tedistutils.core,_check_append_library
tedistutils.core,_check_append_ext_library
tedistutils.log,_fix_args
tedistutils.log,set_threshold
tedistutils.log,get_threshold
tedistutils.log,set_verbosity
tedistutils.log,error
tedistutils.log,warn
tedistutils.log,info
tedistutils.log,debug
tedistutils.npy_pkg_config,parse_flags
tedistutils.npy_pkg_config,_escape_backslash
tedistutils.npy_pkg_config,_interpolate
tedistutils.npy_pkg_config,parse_meta
tedistutils.npy_pkg_config,parse_variables
tedistutils.npy_pkg_config,parse_sections
tedistutils.npy_pkg_config,pkg_to_filename
tedistutils.npy_pkg_config,parse_config
tedistutils.npy_pkg_config,_read_config_imp
tedistutils.npy_pkg_config,_read_config
tedistutils.npy_pkg_config,read_config
tedistutils.msvc9compiler,_merge
tedistutils.misc_util,clean_up_temporary_directory
tedistutils.misc_util,get_num_build_jobs
tedistutils.misc_util,quote_args
tedistutils.misc_util,allpath
tedistutils.misc_util,rel_path
tedistutils.misc_util,get_path_from_frame
tedistutils.misc_util,njoin
tedistutils.misc_util,get_mathlibs
tedistutils.misc_util,minrelpath
tedistutils.misc_util,sorted_glob
tedistutils.misc_util,_fix_paths
tedistutils.misc_util,gpaths
tedistutils.misc_util,make_temp_file
tedistutils.misc_util,terminal_has_colors
tedistutils.misc_util,colour_text
tedistutils.misc_util,colour_text
tedistutils.misc_util,default_text
tedistutils.misc_util,red_text
tedistutils.misc_util,green_text
tedistutils.misc_util,yellow_text
tedistutils.misc_util,cyan_text
tedistutils.misc_util,blue_text
tedistutils.misc_util,cyg2win32
tedistutils.misc_util,mingw32
tedistutils.misc_util,msvc_runtime_version
tedistutils.misc_util,msvc_runtime_library
tedistutils.misc_util,msvc_runtime_major
tedistutils.misc_util,_get_f90_modules
tedistutils.misc_util,is_string
tedistutils.misc_util,all_strings
tedistutils.misc_util,is_sequence
tedistutils.misc_util,is_glob_pattern
tedistutils.misc_util,as_list
tedistutils.misc_util,get_language
tedistutils.misc_util,has_f_sources
tedistutils.misc_util,has_cxx_sources
tedistutils.misc_util,filter_sources
tedistutils.misc_util,_get_headers
tedistutils.misc_util,_get_directories
