name,files,modules,variables
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,D
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,D
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,self.D
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,self.order
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,self.n_equal_steps
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,self.LU
BdfDenseOutput,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BdfDenseOutput,self.order
BdfDenseOutput,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BdfDenseOutput,self.t_shift
BdfDenseOutput,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BdfDenseOutput,self.denom
BdfDenseOutput,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BdfDenseOutput,self.D
OdeSolution,./apps/scipy/scipy/integrate/_ivp/common.py,scipy.integrate._ivp.common.OdeSolution,ts
OdeSolution,./apps/scipy/scipy/integrate/_ivp/common.py,scipy.integrate._ivp.common.OdeSolution,d
OdeSolution,./apps/scipy/scipy/integrate/_ivp/common.py,scipy.integrate._ivp.common.OdeSolution,self.n_segments
OdeSolution,./apps/scipy/scipy/integrate/_ivp/common.py,scipy.integrate._ivp.common.OdeSolution,self.ts
OdeSolution,./apps/scipy/scipy/integrate/_ivp/common.py,scipy.integrate._ivp.common.OdeSolution,self.interpolants
Radau,./apps/scipy/scipy/integrate/_ivp/radau.py,scipy.integrate._ivp.radau.Radau,self.y_old
Radau,./apps/scipy/scipy/integrate/_ivp/radau.py,scipy.integrate._ivp.radau.Radau,self.max_step
Radau,./apps/scipy/scipy/integrate/_ivp/radau.py,scipy.integrate._ivp.radau.Radau,self.rtol
Radau,./apps/scipy/scipy/integrate/_ivp/radau.py,scipy.integrate._ivp.radau.Radau,self.atol
Radau,./apps/scipy/scipy/integrate/_ivp/radau.py,scipy.integrate._ivp.radau.Radau,self.f
Radau,./apps/scipy/scipy/integrate/_ivp/radau.py,scipy.integrate._ivp.radau.Radau,self.h_abs_old
Radau,./apps/scipy/scipy/integrate/_ivp/radau.py,scipy.integrate._ivp.radau.Radau,self.error_norm_old
Radau,./apps/scipy/scipy/integrate/_ivp/radau.py,scipy.integrate._ivp.radau.Radau,self.newton_tol
Radau,./apps/scipy/scipy/integrate/_ivp/radau.py,scipy.integrate._ivp.radau.Radau,self.sol
Radau,./apps/scipy/scipy/integrate/_ivp/radau.py,scipy.integrate._ivp.radau.Radau,self.jac_factor
Radau,./apps/scipy/scipy/integrate/_ivp/radau.py,scipy.integrate._ivp.radau.Radau,self.jac
Radau,./apps/scipy/scipy/integrate/_ivp/radau.py,scipy.integrate._ivp.radau.Radau,self.J
Radau,./apps/scipy/scipy/integrate/_ivp/radau.py,scipy.integrate._ivp.radau.Radau,self.lu
Radau,./apps/scipy/scipy/integrate/_ivp/radau.py,scipy.integrate._ivp.radau.Radau,self.solve_lu
