common-block,file,module,operation,direction
PalmImagePlugin.py,./apps/Pillow/src/PIL/PalmImagePlugin.py,PIL.PalmImagePlugin,_Palm8BitColormapValues,WRITE
PalmImagePlugin.py,./apps/Pillow/src/PIL/PalmImagePlugin.py,PIL.PalmImagePlugin,Palm8BitColormapImage,WRITE
PalmImagePlugin.py,./apps/Pillow/src/PIL/PalmImagePlugin.py,PIL.PalmImagePlugin,_FLAGS,WRITE
PalmImagePlugin.py,./apps/Pillow/src/PIL/PalmImagePlugin.py,PIL.PalmImagePlugin,_COMPRESSION_TYPES,WRITE
ImagePalette.py,./apps/Pillow/src/PIL/ImagePalette.py,PIL.ImagePalette,TYPE_CHECKING,WRITE
PSDraw.py,./apps/Pillow/src/PIL/PSDraw.py,PIL.PSDraw,TYPE_CHECKING,WRITE
PSDraw.py,./apps/Pillow/src/PIL/PSDraw.py,PIL.PSDraw,EDROFF_PS,WRITE
PSDraw.py,./apps/Pillow/src/PIL/PSDraw.py,PIL.PSDraw,VDI_PS,WRITE
PSDraw.py,./apps/Pillow/src/PIL/PSDraw.py,PIL.PSDraw,ERROR_PS,WRITE
DdsImagePlugin.py,./apps/Pillow/src/PIL/DdsImagePlugin.py,PIL.DdsImagePlugin,DDS_MAGIC,WRITE
DdsImagePlugin.py,./apps/Pillow/src/PIL/DdsImagePlugin.py,PIL.DdsImagePlugin,module,WRITE
