"module";"operation";"in-edges";"out-edges"
"libtests.test_format_0_0.test_read_array_header_1_0.f";"test_read_array_header_1_0";"7";"0"
"lib_core.test_ufunc_0_0.s.tell.f";"tell";"0";"2"
"f2pytests.test_crackfortran_0_0.test_nowrap_private_proceedures.f";"test_nowrap_private_proceedures";"5";"0"
"numpy.polynomial.tests.test_hermite_e_0_0.crackfortran.crack2fortran.f";"crack2fortran";"0";"2"
"lib_core.test_regression_0_0.test_fromiter_bytes.f";"test_fromiter_bytes";"6";"0"
"omtests.test_core_0_0.test_numpyarithmetic.f";"test_numpyarithmetic";"4";"0"
"omlib._scimath_impl_0_0.np.log.f";"log";"0";"18"
"omlib._nanfunctions_impl_0_0.nanpercentile.f";"nanpercentile";"12";"0"
"numpy.polynomial.polyutils_0_0.np.true_divide.f";"true_divide";"0";"10"
"lib_core.test_numeric_0_0.test_clip_property.f";"test_clip_property";"15";"0"
"omma.core_0_0.np.maximum.f";"maximum";"0";"21"
"lib_core.test_deprecations_0_0.test_deprecation_dtype_attribute_is_dtype.f";"test_deprecation_dtype_attribute_is_dtype";"4";"0"
"numpy.polynomial.tests.test_hermite_e_0_0.self.assert_deprecated.f";"assert_deprecated";"0";"28"
"numpy.matlib_0_0.randn.f";"randn";"3";"4"
"omlib._twodim_base_impl_0_0.asmatrix.f";"asmatrix";"0";"12"
"lib_core.test_scalarmath_0_0.test_builtin_abs.f";"test_builtin_abs";"7";"0"
"numpy.polynomial.tests.test_hermite_e_0_0.platform.release.f";"release";"0";"2"
"lif2py.crackfortran_0_0.updatevars.f";"updatevars";"33";"0"
"omma.core_0_0.unmarkouterparen.f";"unmarkouterparen";"0";"2"
"lib_core.test_dtype_0_0.test_object_flag_not_inherited.f";"test_object_flag_not_inherited";"2";"0"
"numpy.matlib_0_0.np.ones.f";"ones";"0";"414"
"randomtests.test_generator_mt19937_0_0.test_permutation_exceptions.f";"test_permutation_exceptions";"6";"0"
"omtests.test_core_0_0.test_coercion_bytes.f";"test_coercion_bytes";"3";"0"
"numpy.matlib_0_0.np.zeros.f";"zeros";"0";"450"
"lib_core.test_strings_0_0.test_expandtabs.f";"test_expandtabs";"4";"0"
"libtests.test_format_0_0.test_python2_python3_interoperability.f";"test_python2_python3_interoperability";"8";"0"
"liblinalg._linalg_0_0.tensorsolve.f";"tensorsolve";"13";"0"
"omma.core_0_0.asarray.f";"asarray";"1";"100"
"omtests.test_ctypeslib_0_0.test_pointer.f";"test_pointer";"10";"0"
"distutilstests.test_ccompiler_opt_0_0.expect_targets.f";"expect_targets";"6";"0"
"lib_core.test_ufunc_0_0.re.match.f";"match";"0";"74"
"omtests.test_core_0_0.test_fillvalue_conversion.f";"test_fillvalue_conversion";"5";"0"
"numpy.polynomial.tests.test_hermite_e_0_0.a._optinfo.update.f";"update";"0";"1"
"py_utils._pep440_0_0.__init__.f";"__init__";"13";"0"
"lib_core.test_regression_0_0._Version.f";"_Version";"0";"1"
"omlib.recfunctions_0_0.merge_arrays.f";"merge_arrays";"27";"0"
"numpy.polynomial.tests.test_hermite_e_0_0.f";"item";"0";"2"
"randomtests.test_smoke_0_0.test_init.f";"test_init";"5";"0"
"liblinalg._linalg_0_0.solve.f";"solve";"10";"1"
"distutilstests.test_ccompiler_opt_0_0._assert_stacked_square.f";"_assert_stacked_square";"0";"11"
"tedistutils.system_info_0_0._calc_info_flame.f";"_calc_info_flame";"2";"0"
"numpy.polynomial.tests.test_hermite_e_0_0.self.set_info.f";"set_info";"0";"15"
"omtests.test_mrecords_0_0.test_set_mask.f";"test_set_mask";"6";"0"
"omma.mrecords_0_0.base.view.f";"view";"0";"11"
"lib_core.test_multiarray_0_0.__array_finalize__.f";"__array_finalize__";"22";"0"
"lib_core.test_ufunc_0_0.RuntimeError.f";"RuntimeError";"0";"32"
"distutilstests.test_ccompiler_opt_0_0.expect_flags.f";"expect_flags";"8";"0"
"lib_core.test_multiarray_0_0.test_all_where.f";"test_all_where";"5";"0"
"lib_core.f";"all";"0";"1"
"randomtests.test_randomstate_0_0.test_hypergeometric.f";"test_hypergeometric";"7";"0"
"libtests.test_regression_0_0.hypergeom.f";"hypergeom";"0";"3"
"libtests.test_function_base_0_0.test_subclass.f";"test_subclass";"20";"0"
"libtests.test_regression_0_0.np.arctan.f";"arctan";"0";"6"
"distutilsfcompiler.absoft_0_0.get_flags_fix.f";"get_flags_fix";"2";"0"
"libtests.test_regression_0_0.opt.extend.f";"extend";"0";"10"
"f2pytests.test_regression_0_0.test_gh26148.f";"test_gh26148";"2";"0"
"omlib._function_base_impl_0_0.hanning.f";"hanning";"6";"1"
"numpy.matlib_0_0.ones.f";"ones";"2";"24"
"lif2py.f";"dadd";"13";"2"
"lif2py.auxfuncs_0_0.hasbody.f";"hasbody";"0";"6"
"numpy.polynomial.tests.test_printing_0_0.test_polynomial_repr.f";"test_polynomial_repr";"3";"0"
"numpy.polynomial.tests.test_classes_0_0.poly.Polynomial.f";"Polynomial";"0";"37"
"libtests.test__iotools_0_0.test_creation.f";"test_creation";"2";"0"
"lib_core.test_indexing_0_0.test_boolean_indexing_twodim.f";"test_boolean_indexing_twodim";"2";"0"
"lif2py.symbolic_0_0.traverse.f";"traverse";"18";"0"
"lif2py.crackfortran_0_0.right.traverse.f";"traverse";"0";"1"
"libtests.test_histograms_0_0.test_some_nan_values.f";"test_some_nan_values";"7";"0"
"tedistutils.npy_pkg_config_0_0.parse_flags.f";"parse_flags";"5";"0"
"omlib._shape_base_impl_0_0.split.f";"split";"4";"59"
"f2pytests.test_array_from_pyobj_0_0.test_c_in_from_23seq.f";"test_c_in_from_23seq";"3";"0"
"lib_core.test_overrides_0_0.a.has_shared_memory.f";"has_shared_memory";"0";"16"
"lib_core.einsumfunc_0_0.einsum.f";"einsum";"23";"0"
"libtests.test_regression_0_0.TypeError.f";"TypeError";"0";"99"
"randomtests.test_regression_0_0.__array__.f";"__array__";"7";"0"
"numpy.matlib_0_0.np.random.seed.f";"seed";"0";"91"
"omlib._function_base_impl_0_0._parse_input_dimensions.f";"_parse_input_dimensions";"6";"0"
"omma.core_0_0._update_dim_sizes.f";"_update_dim_sizes";"0";"2"
"distutilscommand.build_ext_0_0.report.f";"report";"36";"0"
"libtests.test_regression_0_0.compiler.customize.f";"customize";"0";"2"
"lib_core.test_nditer_0_0.test_iter_too_large.f";"test_iter_too_large";"4";"0"
"omlib._twodim_base_impl_0_0.np.lib.stride_tricks.as_strided.f";"as_strided";"0";"9"
"omtests.test_extras_0_0.test_compress_nd.f";"test_compress_nd";"9";"0"
"omma.extras_0_0.compress_nd.f";"compress_nd";"10";"2"
