callerfilename,callermodule,caller,callee
./apps/matplotlib/lib/matplotlib/tests/test_axes.py,matplotlib.tests.test_axes,test_subplot_key_hash,np.int32
./apps/matplotlib/lib/matplotlib/backends/backend_svg.py,matplotlib.backends.backend_svg,_get_all_quoted_names,chr
./apps/matplotlib/galleries/examples/user_interfaces/fourier_demo_wx_sgskip.py,fourier_demo_wx_sgskip,__init__,int
./apps/matplotlib/lib/matplotlib/tests/test_animation.py,matplotlib.tests.test_animation,test_disable_cache_warning,iter
./apps/matplotlib/galleries/examples/ticks/date_concise_formatter.py,date_concise_formatter,millions,np.cumsum
./apps/matplotlib/lib/matplotlib/tests/test_backend_tk.py,matplotlib.tests.test_backend_tk,test_save_figure_return,print
./apps/matplotlib/lib/matplotlib/tests/test_patches.py,matplotlib.tests.test_patches,test_patch_custom_linestyle,np.concatenate
./apps/matplotlib/lib/matplotlib/axes/_axes.py,matplotlib.axes._axes,psd,int
./apps/matplotlib/lib/matplotlib/cbook.py,matplotlib.cbook,_combine_masks,enumerate
./apps/matplotlib/lib/mpl_toolkits/axisartist/grid_helper_curvelinear.py,matplotlib.axisartist.grid_helper_curvelinear,calc_eps,np.where
./apps/matplotlib/lib/matplotlib/tests/test_subplots.py,matplotlib.tests.test_subplots,check_ticklabel_visible,enumerate
./apps/matplotlib/lib/matplotlib/tests/test_axes.py,matplotlib.tests.test_axes,test_markevery_polar,enumerate
./apps/matplotlib/lib/matplotlib/hatch.py,matplotlib.hatch,__init__,super
./apps/matplotlib/lib/matplotlib/font_manager.py,matplotlib.font_manager,default,super
./apps/matplotlib/lib/matplotlib/collections.py,matplotlib.collections,set_positions,np.sort
./apps/matplotlib/lib/matplotlib/lines.py,matplotlib.lines,contains,_log.warning
./apps/matplotlib/lib/matplotlib/projections/geo.py,matplotlib.projections.geo,transform_non_affine,np.column_stack
./apps/matplotlib/galleries/examples/text_labels_and_annotations/stix_fonts_demo.py,stix_fonts_demo,print_text,enumerate
./apps/matplotlib/galleries/examples/specialty_plots/radar_chart.py,radar_chart,_gen_axes_spines,super
./apps/matplotlib/lib/matplotlib/artist.py,matplotlib.artist,_fully_clipped_to_axes,np.all
./apps/matplotlib/galleries/tutorials/images.py,images,currency,repr
./apps/matplotlib/lib/matplotlib/scale.py,matplotlib.scale,_get_scale_docs,repr
./apps/matplotlib/lib/matplotlib/quiver.py,matplotlib.quiver,set_UVC,np.column_stack
./apps/matplotlib/galleries/examples/text_labels_and_annotations/line_with_text.py,line_with_text,set_data,super
./apps/matplotlib/lib/matplotlib/_api/deprecation.py,matplotlib._api.deprecation,_generate_deprecation_warning,int
./apps/matplotlib/galleries/examples/showcase/xkcd.py,xkcd,f,np.ones
./apps/matplotlib/lib/matplotlib/backends/backend_template.py,matplotlib.backends.backend_template,__init__,super
./apps/matplotlib/lib/matplotlib/backends/backend_wx.py,matplotlib.backends.backend_wx,set_capstyle,super
./apps/matplotlib/lib/matplotlib/tests/test_collections.py,matplotlib.tests.test_collections,test_quadmesh_set_array_validation,np.ones
./apps/matplotlib/lib/mpl_toolkits/mplot3d/axes3d.py,matplotlib.mplot3d.axes3d,tricontourf,super
./apps/matplotlib/galleries/examples/event_handling/poly_editor.py,poly_editor,on_key_press,np.insert
./apps/matplotlib/lib/matplotlib/widgets.py,matplotlib.widgets,__init__,super
./apps/matplotlib/lib/matplotlib/backends/backend_qt.py,matplotlib.backends.backend_qt,start_event_loop,int
./apps/matplotlib/lib/matplotlib/quiver.py,matplotlib.quiver,__init__,super
./apps/matplotlib/tools/stubtest.py,matplotlib.tests.stubtest,visit_FunctionDef,parents.insert
./apps/matplotlib/lib/matplotlib/cbook.py,matplotlib.cbook,normalize_kwargs,kw.items
./apps/matplotlib/lib/matplotlib/axes/_axes.py,matplotlib.axes._axes,hexbin,int
./apps/matplotlib/lib/matplotlib/projections/polar.py,matplotlib.projections.polar,format_coord,np.stack
./apps/matplotlib/lib/matplotlib/_afm.py,matplotlib._afm,_parse_header,_log.error
./apps/matplotlib/lib/matplotlib/backends/backend_cairo.py,matplotlib.backends.backend_cairo,copy_from_bbox,slice
./apps/matplotlib/galleries/examples/misc/custom_projection.py,custom_projection,__init__,super
./apps/matplotlib/galleries/examples/user_interfaces/embedding_in_wx2_sgskip.py,embedding_in_wx2_sgskip,__init__,super
./apps/matplotlib/lib/matplotlib/backends/backend_wx.py,matplotlib.backends.backend_wx,_get_imagesave_wildcards,enumerate
./apps/matplotlib/lib/matplotlib/lines.py,matplotlib.lines,draw,slice
./apps/matplotlib/galleries/examples/widgets/polygon_selector_simple.py,polygon_selector_simple,stylefunc,print
./apps/matplotlib/lib/matplotlib/backends/backend_pdf.py,matplotlib.backends.backend_pdf,copy_properties,super
./apps/matplotlib/galleries/examples/statistics/time_series_histogram.py,time_series_histogram,set_axis_style,np.concatenate
./apps/matplotlib/galleries/examples/statistics/time_series_histogram.py,time_series_histogram,set_axis_style,np.cumsum
./apps/matplotlib/lib/matplotlib/rcsetup.py,matplotlib.rcsetup,validate_fonttype,s.lower
./apps/matplotlib/lib/matplotlib/tests/test_patches.py,matplotlib.tests.test_patches,test_patch_linestyle_accents,enumerate
./apps/matplotlib/lib/matplotlib/tests/test_axes.py,matplotlib.tests.test_axes,test_acorr_integers,np.correlate
./apps/matplotlib/lib/matplotlib/tests/test_figure.py,matplotlib.tests.test_figure,test_autofmt_xdate,warnings.catch_warnings
./apps/matplotlib/lib/matplotlib/tests/test_path.py,matplotlib.tests.test_path,test_arrow_contains_point,enumerate
./apps/matplotlib/lib/matplotlib/font_manager.py,matplotlib.font_manager,__eq__,hash
./apps/matplotlib/lib/matplotlib/path.py,matplotlib.path,unit_regular_polygon,np.column_stack
./apps/matplotlib/lib/matplotlib/spines.py,matplotlib.spines,__iter__,iter
./apps/matplotlib/lib/matplotlib/tests/test_quiver.py,matplotlib.tests.test_quiver,test_quiver_setuvc_numbers,np.ones_like
./apps/matplotlib/lib/matplotlib/testing/_markers.py,matplotlib.testing._markers,_checkdep_usetex,_log.warning
./apps/matplotlib/lib/matplotlib/tests/test_marker.py,matplotlib.tests.test_marker,_recache,super
./apps/matplotlib/lib/mpl_toolkits/axes_grid1/parasite_axes.py,matplotlib.axes_grid1.parasite_axes,get_tightbbox,super
./apps/matplotlib/lib/mpl_toolkits/axisartist/tests/test_axislines.py,matplotlib.tests.test_axislines,test_ParasiteAxesAuxTrans,enumerate
./apps/matplotlib/galleries/examples/text_labels_and_annotations/font_family_rc.py,font_family_rc,format_axes,print
./apps/matplotlib/galleries/examples/pie_and_polar_charts/pie_and_donut_labels.py,pie_and_donut_labels,func,int
./apps/matplotlib/lib/matplotlib/tests/test_colors.py,matplotlib.tests.test_colors,test_scalarmappable_to_rgba,np.ones
./apps/matplotlib/lib/matplotlib/backends/_backend_tk.py,matplotlib.backends._backend_tk,__init__,tk.IntVar
./apps/matplotlib/lib/matplotlib/tests/test_triangulation.py,matplotlib.tests.test_triangulation,gradient_quad,linear_interp
./apps/matplotlib/lib/matplotlib/cbook.py,matplotlib.cbook,_setattr_cm,kwargs.items
./apps/matplotlib/lib/matplotlib/tests/test_agg.py,matplotlib.tests.test_agg,smooth1d,w.sum
